ids,labels,parents
Pampa,Pampa,
Buenos Aires,Buenos Aires,
Centro,Centro,
NOA,NOA,
NEA,NEA,
Patagonia,Patagonia,
Cuyo,Cuyo,
Pampa-La Pampa,La Pampa,Pampa
Pampa-Buenos Aires,Buenos Aires,Pampa
Buenos Aires-AMBA,AMBA,Buenos Aires
Patagonia-Neuquen,Neuquen,Patagonia
NEA-Misiones,Misiones,NEA
Patagonia-Rio Negro,Rio Negro,Patagonia
NOA-Salta,Salta,NOA
NOA-Santiago del Estero,Santiago del Estero,NOA
Patagonia-Chubut,Chubut,Patagonia
NEA-Formosa,Formosa,NEA
NEA-Chaco,Chaco,NEA
NOA-Jujuy,Jujuy,NOA
Centro-Cordoba,Cordoba,Centro
Cuyo-Mendoza,Mendoza,Cuyo
Buenos Aires-Hudson,Hudson,Buenos Aires
Centro-Santa Fe,Santa Fe,Centro
Cuyo-La Rioja,La Rioja,Cuyo
Centro-Entre Rios,Entre Rios,Centro
Cuyo-San Juan,San Juan,Cuyo
Patagonia-Tierra del Fuego,Tierra del Fuego,Patagonia
NOA-Tucuman,Tucuman,NOA
Cuyo-Otra,Otra,Cuyo
NEA-Corrientes,Corrientes,NEA
NOA-Catamarca,Catamarca,NOA
NEA-Avellaneda,Avellaneda,NEA
Buenos Aires-BELLA VISTA,BELLA VISTA,Buenos Aires
Buenos Aires-San Andres,San Andres,Buenos Aires
La Pampa-Santa Rosa,Santa Rosa,Pampa-La Pampa
Buenos Aires-Tandil,Tandil,Pampa-Buenos Aires
Buenos Aires-Mar Del Plata,Mar Del Plata,Pampa-Buenos Aires
AMBA-Parque Chacabuco,Parque Chacabuco,Buenos Aires-AMBA
Neuquen-Neuquen,Neuquen,Patagonia-Neuquen
La Pampa-General Pico,General Pico,Pampa-La Pampa
Misiones-Posadas,Posadas,NEA-Misiones
Rio Negro-Copolletti,Copolletti,Patagonia-Rio Negro
Neuquen-centenario,centenario,Patagonia-Neuquen
AMBA-CABA,CABA,Buenos Aires-AMBA
Buenos Aires-Rauch,Rauch,Pampa-Buenos Aires
AMBA-Brandsen,Brandsen,Buenos Aires-AMBA
Salta-Capital,Capital,NOA-Salta
Santiago del Estero-La Banda,La Banda,NOA-Santiago del Estero
AMBA-MARTINEZ,MARTINEZ,Buenos Aires-AMBA
Rio Negro-Cinco Saltos,Cinco Saltos,Patagonia-Rio Negro
Salta-Salta,Salta,NOA-Salta
Buenos Aires-Batan,Batan,Pampa-Buenos Aires
Misiones-ELDORADO,ELDORADO,NEA-Misiones
Buenos Aires-Mar del Plata,Mar del Plata,Pampa-Buenos Aires
Salta-SALTA,SALTA,NOA-Salta
Chubut-Puerto Madryn,Puerto Madryn,Patagonia-Chubut
AMBA-Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Buenos Aires-AMBA
AMBA-Quilmes,Quilmes,Buenos Aires-AMBA
Santiago del Estero-Santiago Del Estero Capital,Santiago Del Estero Capital,NOA-Santiago del Estero
Neuquen-NEUQUEN,NEUQUEN,Patagonia-Neuquen
AMBA-Lujan,Lujan,Buenos Aires-AMBA
Rio Negro-CIPOLLETTI,CIPOLLETTI,Patagonia-Rio Negro
Formosa-Formosa,Formosa,NEA-Formosa
Chaco-Resistencia,Resistencia,NEA-Chaco
Rio Negro-Bariloche,Bariloche,Patagonia-Rio Negro
Buenos Aires-TANDIL,TANDIL,Pampa-Buenos Aires
Misiones-Eldorado,Eldorado,NEA-Misiones
Santiago del Estero-Santiago del Estero,Santiago del Estero,NOA-Santiago del Estero
Jujuy-TILCARA,TILCARA,NOA-Jujuy
Chaco-Makalle,Makalle,NEA-Chaco
AMBA-Villa Martelli,Villa Martelli,Buenos Aires-AMBA
Santiago del Estero-fernandez,fernandez,NOA-Santiago del Estero
Cordoba-Villa Maria,Villa Maria,Centro-Cordoba
AMBA-Olivos,Olivos,Buenos Aires-AMBA
Neuquen-San Martin de los andes,San Martin de los andes,Patagonia-Neuquen
Buenos Aires-25 DE MAYO,25 DE MAYO,Pampa-Buenos Aires
Mendoza-LAS HERAS,LAS HERAS,Cuyo-Mendoza
Mendoza-GODOY CRUZ,GODOY CRUZ,Cuyo-Mendoza
Hudson- Berazategui, Berazategui,Buenos Aires-Hudson
Mendoza-Lujan de Cuyo,Lujan de Cuyo,Cuyo-Mendoza
Neuquen-San Martin de los Andes,San Martin de los Andes,Patagonia-Neuquen
AMBA-PARQUE PATRICIOS,PARQUE PATRICIOS,Buenos Aires-AMBA
Santa Fe-Rafaela,Rafaela,Centro-Santa Fe
Santa Fe-SANTA FE,SANTA FE,Centro-Santa Fe
Santa Fe-Santa Fe,Santa Fe,Centro-Santa Fe
AMBA-Tres de Febrero,Tres de Febrero,Buenos Aires-AMBA
Jujuy-San Salvador de Jujuy,San Salvador de Jujuy,NOA-Jujuy
Salta-capital,capital,NOA-Salta
AMBA-Manuel B. Gonnet,Manuel B. Gonnet,Buenos Aires-AMBA
Cordoba-cordoba,cordoba,Centro-Cordoba
AMBA-LUJAN,LUJAN,Buenos Aires-AMBA
Santa Fe-Las Parejas,Las Parejas,Centro-Santa Fe
Santa Fe-San Jorge,San Jorge,Centro-Santa Fe
La Rioja-La Rioja,La Rioja,Cuyo-La Rioja
Santa Fe-Totoras,Totoras,Centro-Santa Fe
Santa Fe-Carcarana,Carcarana,Centro-Santa Fe
AMBA-virrey del pino,virrey del pino,Buenos Aires-AMBA
Rio Negro-El Bolson,El Bolson,Patagonia-Rio Negro
Buenos Aires-25 de Mayo,25 de Mayo,Pampa-Buenos Aires
Entre Rios-NOGOYA,NOGOYA,Centro-Entre Rios
Santa Fe-LAS PAREJAS,LAS PAREJAS,Centro-Santa Fe
Santa Fe-EL TREBOL,EL TREBOL,Centro-Santa Fe
Entre Rios-Parana,Parana,Centro-Entre Rios
Santa Fe-Las Rosas,Las Rosas,Centro-Santa Fe
San Juan-Santa Lucia,Santa Lucia,Cuyo-San Juan
Cordoba-Carlos Paz,Carlos Paz,Centro-Cordoba
AMBA-buenos aires,buenos aires,Buenos Aires-AMBA
AMBA-La Plata ,La Plata ,Buenos Aires-AMBA
Tierra del Fuego-rio grande,rio grande,Patagonia-Tierra del Fuego
Santa Fe-El Trebol,El Trebol,Centro-Santa Fe
Chubut-Comodoro rivadavia,Comodoro rivadavia,Patagonia-Chubut
Cordoba-Malagueno,Malagueno,Centro-Cordoba
AMBA-San Justo,San Justo,Buenos Aires-AMBA
Tierra del Fuego-Rio Grande ,Rio Grande ,Patagonia-Tierra del Fuego
AMBA-Abasto- La Plata,Abasto- La Plata,Buenos Aires-AMBA
AMBA-La Plata,La Plata,Buenos Aires-AMBA
AMBA-Ituzaingo,Ituzaingo,Buenos Aires-AMBA
Entre Rios-Gualeguaychu,Gualeguaychu,Centro-Entre Rios
Buenos Aires-Olavarria,Olavarria,Pampa-Buenos Aires
AMBA-Moron,Moron,Buenos Aires-AMBA
AMBA-Capital Federal,Capital Federal,Buenos Aires-AMBA
Santa Fe-Armstrong,Armstrong,Centro-Santa Fe
Santa Fe-RAFAELA,RAFAELA,Centro-Santa Fe
Chubut-Trelew,Trelew,Patagonia-Chubut
Santa Fe-Arequito,Arequito,Centro-Santa Fe
Tucuman-San Miguel de Tucuman,San Miguel de Tucuman,NOA-Tucuman
Cordoba-Cordoba,Cordoba,Centro-Cordoba
Santa Fe-Monte Vera,Monte Vera,Centro-Santa Fe
Santa Fe-Sauce Viejo,Sauce Viejo,Centro-Santa Fe
AMBA-Lincoln,Lincoln,Buenos Aires-AMBA
Santa Fe-Santo Tome,Santo Tome,Centro-Santa Fe
Chubut-TRELEW,TRELEW,Patagonia-Chubut
San Juan-Rawson,Rawson,Cuyo-San Juan
Santa Fe-AREQUITO,AREQUITO,Centro-Santa Fe
Buenos Aires-Olavarria ,Olavarria ,Pampa-Buenos Aires
AMBA-General San Martin ,General San Martin ,Buenos Aires-AMBA
Otra-Villa Mercedes,Villa Mercedes,Cuyo-Otra
Santa Fe-San Vicente,San Vicente,Centro-Santa Fe
Santa Fe-Guadalupe Norte,Guadalupe Norte,Centro-Santa Fe
AMBA-Villa Bonich San Martin,Villa Bonich San Martin,Buenos Aires-AMBA
Tierra del Fuego-Tolhuin,Tolhuin,Patagonia-Tierra del Fuego
San Juan-Rivadavia,Rivadavia,Cuyo-San Juan
Jujuy-YALA,YALA,NOA-Jujuy
Cordoba-Villa Giardino,Villa Giardino,Centro-Cordoba
Santiago del Estero-santiago del estero,santiago del estero,NOA-Santiago del Estero
Salta-salta,salta,NOA-Salta
AMBA-lomas de zamora,lomas de zamora,Buenos Aires-AMBA
AMBA-MALVINAS ARGENTINAS,MALVINAS ARGENTINAS,Buenos Aires-AMBA
AMBA-RAMOS MEJIA,RAMOS MEJIA,Buenos Aires-AMBA
Santa Fe-Rosario,Rosario,Centro-Santa Fe
AMBA-Wilde,Wilde,Buenos Aires-AMBA
Mendoza-SAN RAFAEL,SAN RAFAEL,Cuyo-Mendoza
AMBA-Villa Madero,Villa Madero,Buenos Aires-AMBA
AMBA-Moreno,Moreno,Buenos Aires-AMBA
Corrientes-Bella Vista,Bella Vista,NEA-Corrientes
Santiago del Estero-CAPITAL,CAPITAL,NOA-Santiago del Estero
Santa Fe-Granadero Baigorria,Granadero Baigorria,Centro-Santa Fe
Santiago del Estero-LA BANDA,LA BANDA,NOA-Santiago del Estero
San Juan-Capital ,Capital ,Cuyo-San Juan
AMBA-Nueva Pompeya,Nueva Pompeya,Buenos Aires-AMBA
Rio Negro-ALLEN,ALLEN,Patagonia-Rio Negro
AMBA-La matanza,La matanza,Buenos Aires-AMBA
AMBA-AVELLANEDA,AVELLANEDA,Buenos Aires-AMBA
AMBA-CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,Buenos Aires-AMBA
Jujuy-SS de Jujuy,SS de Jujuy,NOA-Jujuy
Rio Negro-clmte cordero,clmte cordero,Patagonia-Rio Negro
Entre Rios-VILLA URQUIZA,VILLA URQUIZA,Centro-Entre Rios
Santiago del Estero-Capital,Capital,NOA-Santiago del Estero
AMBA-Villa Tesei - Hurlingham,Villa Tesei - Hurlingham,Buenos Aires-AMBA
Chubut-Comodoro Rivadavia,Comodoro Rivadavia,Patagonia-Chubut
Otra-San Luis,San Luis,Cuyo-Otra
AMBA-WILDE,WILDE,Buenos Aires-AMBA
Misiones-Campo Grande,Campo Grande,NEA-Misiones
Jujuy-Rio Blanco - Palpala,Rio Blanco - Palpala,NOA-Jujuy
Santiago del Estero-capital,capital,NOA-Santiago del Estero
Santa Fe-Romang ,Romang ,Centro-Santa Fe
AMBA-Villa Lynch,Villa Lynch,Buenos Aires-AMBA
AMBA-Caseros,Caseros,Buenos Aires-AMBA
Mendoza-Godoy Cruz,Godoy Cruz,Cuyo-Mendoza
Cordoba-Corral de Bustos,Corral de Bustos,Centro-Cordoba
Santa Fe-Casilda,Casilda,Centro-Santa Fe
Entre Rios-Cerrito,Cerrito,Centro-Entre Rios
Corrientes-Corrientes,Corrientes,NEA-Corrientes
Catamarca-Capital,Capital,NOA-Catamarca
AMBA-capital federal,capital federal,Buenos Aires-AMBA
Mendoza-Guaymallen,Guaymallen,Cuyo-Mendoza
Mendoza-San Rafael,San Rafael,Cuyo-Mendoza
La Pampa-Maraco,Maraco,Pampa-La Pampa
Rio Negro-San Carlos de Bariloche,San Carlos de Bariloche,Patagonia-Rio Negro
Salta-Salta Capital,Salta Capital,NOA-Salta
Entre Rios-Colon,Colon,Centro-Entre Rios
